21:23:02  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Kenshi_StandardFont_Medium' using real height 22 pixels.  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  623
21:23:02  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Kenshi_StandardFont_Large' using texture size 256 x 256.  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  622
21:23:02  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Kenshi_StandardFont_Large' using real height 26 pixels.  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  623
21:23:02  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Kenshi_PaintedTextFont_Small' using texture size 256 x 256.  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  622
21:23:02  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Kenshi_PaintedTextFont_Small' using real height 22 pixels.  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  623
21:23:02  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Kenshi_PaintedTextFont_Medium' using texture size 256 x 256.  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  622
21:23:02  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Kenshi_PaintedTextFont_Medium' using real height 27 pixels.  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  623
21:23:02  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Kenshi_PaintedTextFont_Large' using texture size 256 x 256.  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  622
21:23:02  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Kenshi_PaintedTextFont_Large' using real height 30 pixels.  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  623
21:23:03  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Kenshi_BannerTextFont' using texture size 1024 x 1024.  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  622
21:23:03  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Kenshi_BannerTextFont' using real height 162 pixels.  |  C:\kenshi\kenshi-dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  623
